PoliceDepartment,UserID,SenderScreename,UserName,senderDescription,senderFollowers,senderFriends,senderTFF,UserLocation,senderLocationTag,sender.agency,sender.comention,sendTFF_range,PDLocation,UserRole
detroitpolice,648,heif,Scott Heiferman,@Meetup CEO,22345,570,39.20175439,NYC,Non-Local,0,0,>10,"City of Detroit, MI",Other Sectors
NYPDnews,737,salim,Salim,What really went on there? We only have this excerpt.,1332,713,1.868162693,,Missing,0,0,1->2,New York City,Not Identified
PortlandPolice,1623,jchris,Chris Anderson,"Reed '02, Couchbase cofounder, JSON sync hacker, carfree dad person. @VisionZeroUSA Œ_í_íñ Please RT my tweets to politicians they work better that way.",7260,4364,1.663611366,"Portland, OR",Local,0,0,1->2,"Portland, Oregon",Not Identified
SFPD,4820,mcleod9,mcleod9,Embrace contradiction,94,245,0.383673469,San Francisco,Local,0,0,<1,"San Francisco, CA",Not Identified
SFPD,7090,favianna,favianna rodriguez,"I am artist, activist, and agitator that works for a better planet.",8588,515,16.67572816,"Oakland, CA",Non-Local,0,0,>10,"San Francisco, CA",Other Sectors
SFPD,7738,kazanjy,Peter Kazanjy,"Founder @talentbinhiring (acquired by Monster 2/14). Sales, recruiting, HCM, & SAAS are my jam. Currently writing @foundingsales for next gen of founders.",2614,1054,2.480075901,San Francisco,Local,0,0,2->10,"San Francisco, CA",Other Sectors
PortlandPolice,10230,baghdadbrian,Brian Conley,http://storymaker.org @storymakerorg Building tools to help you tell stories. Opening space for those overlooked. #Libya #Egypt #Iraq #Tunisia,7022,3821,1.837738812,PDX-Libya-Egypt-Tunisia-Syria,Non-Local,0,0,1->2,"Portland, Oregon",Other Sectors
NYPDnews,10904,selfagency,daniel sieradski,visual designer í«íç transmedia storyteller í«íç internet curmudgeon í«íç jewy mcjewerson í«íç bernie sanders 2016 í«íç pŒ€_ouŒ€í»,10069,780,12.90897436,jewish autonomous oblast of ny,Local,0,0,>10,New York City,Other Sectors
SFPD,11969,zachklein,Zach Klein,Community builder. @DIY CEO. Co-founder of @vimeo and @beaverbrook. Leave it better than you found it.,21165,639,33.12206573,SF,Local,0,0,>10,"San Francisco, CA",Other Sectors
SFPD,12322,mosjef,jeff reine,I do web stuff @zemanta :: I like the Red Sox :: I love my girls :: I'm stuck in the middle with you,989,455,2.173626374,san francisco,Local,0,0,>10,"San Francisco, CA",Not Identified
boulderpolice,27283,jannscott,Jann Scott TV,I run things here..,1334,723,1.845089903,Awesome Boulder,Local,0,0,1->2,"Boulder, CO",Other Sectors
PortlandPolice,39003,alexmahan,Alex Mahan,var self = this;,625,198,3.156565657,"Portland, Oregon, USA",Local,0,0,>10,"Portland, Oregon",Not Identified
PortlandPolice,56893,kitchen,Jeremy Kitchen,"puppetmaster, cyclist, corgi belly rubber, recovering Angeleno",924,239,3.866108787,Portland,Local,0,0,>10,"Portland, Oregon",Not Identified
NYPDnews,90213,jehiah,Jehiah,VP of Engineering @bitly,1247,294,4.241496599,New York City,Local,0,0,2->10,New York City,Not Identified
PortlandPolice,123863,brigleb,Raymond Brigleb,"Funny guy in Portland, Oregon. Wife Kandace, daughters Zoíëíˆ and Greta. Partner at @needmore designs, and eternal optimist.",805,767,1.049543677,"Portland, Oregon",Local,0,0,1->2,"Portland, Oregon",Not Identified
NYPDnews,420363,epc,Edí«í_Costello,"Œ_í_íèSo, back we go to these questions. Friendship? Character? Ethics?Œ_í_Œù Œ_í_íñCapitalist, Dogist, Fabulist, Gourmandise, Philomath, Progressive, Urbanist, Scrivener, CTO",1018,232,4.387931034,"Chelsea, New York City, USA",Local,0,0,>10,New York City,Not Identified
sppdPIO,702993,chernowa,A. Chernow,http://SeeDisclaimer.com Œ_í_íñ @WCCO Weekend AM Director. @MarquetteU Alum. Chicago native. @Cubs fan. Emmy winner. #Aspie #GirlsLikeUs #MockFlock #AMNewser,1896,1424,1.331460674,"Minneapolis-St. Paul, MN",Local,0,0,1->2,"St. Paul, MN",Other Sectors
SFPD,748383,tomkarlo,Tom Karlo,One of the elves behind Android. Mobile tech nerd; snowboarder; news junkie; frenchie owner.,580,392,1.479591837,"San Francisco, CA",Local,0,0,1->2,"San Francisco, CA",Not Identified
PortlandPolice,755042,distefam,Michael DiStefano,iOS Engineer at @simple. Inventor of @goteadrop. Creator of @goiapp. Author of MDCalendar.,229,205,1.117073171,"Portland, OR",Local,0,0,1->2,"Portland, Oregon",Other Sectors
oaklandpoliceca,756628,firecatcher,Fire Catcher ,Disabled queer writer and sex educator. #BlackLivesMatter #Solidarity                    Photo: Nick Shere,549,1250,0.4392,Bay Area ,Non-Local,0,0,<1,"Oakland, CA",Other Sectors
SFPD,757043,toxic,Toxic,"Web 0.96í‚_ apologist, raconteur, Unix guru, & master of the one finger opinion. 20 years in, I'm still thrilled to get paid to run awesome parts of the Internet.",798,1214,0.657331137,San Francisco,Local,0,0,<1,"San Francisco, CA",Other Sectors
SFPD,782632,3en,Ben Reyes,"Designer & Developer, slowly changing the world bit by bit. Member of the @PiratePartyUK and @OpenRightsGroup. Cryptocurrency advocate.  Currently @Zendesk.",3586,992,3.614919355,London,Non-Local,0,0,>10,"San Francisco, CA",Other Sectors
PortlandPolice,785668,bringo,Tim Trautmann,"Ersatz voice for Kermit the Frog, amongst other things. Also, developing on iOS for Walmart Labs.",888,1096,0.810218978,"Portland, OR",Local,0,0,<1,"Portland, Oregon",Other Sectors
detroitpolice,794534,dmoon,Douglas,Yo-yo champion. CTID. DCFC,477,1616,0.295173267,Metro Detroit / MI / USA,Local,0,0,<1,"City of Detroit, MI",Other Sectors
PortlandPolice,797231,bzo,Brendon Connelly,Exact change!,563,114,4.938596491,"Newberg, OR 97132, USA",Local,0,0,2->10,"Portland, Oregon",Not Identified
SFPD,800401,cindshih,Cindy Shih,"Former Googler turned full-time Artist, teaching and painting in SoMa. / Co-Founder of Art | Song Salon / IG: @cindyshihart",292,1058,0.275992439,"San Francisco, CA",Local,0,0,<1,"San Francisco, CA",Other Sectors
SFPD,802856,roboguice,Mike Burton,"Author Android for Dummies, Director of Mobile Engineering at Groupon",868,840,1.033333333,,Missing,0,0,1->2,"San Francisco, CA",Media
SFPD,817288,gaberivera,Gabe Rivera,"I run Techmeme.

Sometimes I tweet what I mean. Sometimes I tweet the opposite. Retweets are endorphins.",54089,4001,13.51887028,"SF: Disruptopia, USA",Local,0,0,>10,"San Francisco, CA",Not Identified
SFPD,856741,sethjs,seth sternberg,Co-founder @honor. Co-founded Meebo.,6271,238,26.3487395,"San Francisco, CA",Local,0,0,>10,"San Francisco, CA",Other Sectors
SFPD,885611,jamesco,James Martin,"Senior Photographer at @CBS/@CNET.  Photo Editor, Creative Director. Woo me with IPAs & carnitas super burritos. I live on an island.",3652,3195,1.143035994,"San Francisco, CA",Local,0,0,1->2,"San Francisco, CA",Media
NYPDnews,888621,wexler,Nu Wexler,"Public policy communications at Twitter, former House + Senate flack. Born in Vietnam, grew up in both Carolinas. All opinions are my own. Unable to verify you.",5672,2602,2.179861645,"Washington, D.C.",Local,0,0,2->10,New York City,Media
NYPDnews,954821,eamonn,Eamonn Fitzgerald,Ex-pat Irishman keeping an eye on the world from the Bavarian side of the Alps.,473,1146,0.412739965,"Munich, Germany",Non-Local,0,0,<1,New York City,Not Identified
NYPDnews,1039031,asdeos,Anthony Deos,A cosmopolitan all the way! I'm a communications professional & public diplomacy researcher - currently based in the Antipodes @Otago,1649,2000,0.8245,Dunedin / Sydney / Bangkok,Non-Local,0,0,<1,New York City,Not Identified
SFPD,1143481,alexisw,alexis wagner,"I like helping projects, plants, and people grow. Illustration and design stuff at @theawgy .",256,95,2.694736842,,Missing,0,0,>10,"San Francisco, CA",Not Identified
SFPD,1180171,maringuy,Mike Barash,"Founder & CEO of Knock Twice, a hybrid content & PR agency in SF, NYC & SLC. I like bourbon & sharks.",2017,397,5.080604534,San Francisco,Local,0,0,2->10,"San Francisco, CA",Other Sectors
SFPD,1263921,jkubicek,Jim,professional gibberish typer,1598,698,2.289398281,"Palo Alto, CA",Non-Local,0,0,2->10,"San Francisco, CA",Not Identified
NYPDnews,1283361,ckieff,Chris Kieff,"Consistently convivial, gregariously social, enthusiastically erudite, Dir Sales Support @Sprinklr Opinions are mine.",6816,7154,0.952753704,New York City Area,Local,0,0,<1,New York City,Other Sectors
SFPD,1397551,butner,Matt Butner,Climb the mountains and get their good tidings. CTO @StrideHealth,345,652,0.529141104,"SF, CA",Local,0,0,<1,"San Francisco, CA",Not Identified
ScottsdalePD,1436551,infobahn,Infobahn,Man About the Internet,1333,924,1.442640693,Arizona,Non-Local,0,0,1->2,"Scottsdale, Arizona",Not Identified
