PoliceDepartment,UserID,SenderScreename,UserName,senderDescription,senderFollowers,senderFriends,senderTFF,UserLocation,senderLocationTag,sender.agency,sender.comention,sendTFF_range,PDLocation,UserRole
SFPD,3936,allaboutgeorge,George Kelly,"Journalist (reporter, breaking news team for Bay Area News Group; gkelly at bayareanewsgroup dot-com or 408-859-5180), blogger, musician, fan",7144,2568,2.781931464,94606 or 94612 or 94804,Non-Local,0,1,>10,"San Francisco, CA",Media
NYPDnews,686993,noneck,noel hidalgo,@BetaNYC's Co-founder & Executive Director / a #CfAbrigade; @GuardianProject consultant; #BikeNYC instigator; Formerly of @NYSenate @Davos @CodeForAmerica.,5787,2287,2.530389156,"Brooklyn, NYC",Local,0,1,2->10,New York City,Other Sectors
SFPD,754485,matthewkeyslive,Matthew Keys,The internet's journalist. Former @Reuters social media editor. Tips: 415.857.2407 or matthew.keys@gmail.com | Contact info - http://bit.ly/MailMK,40196,6000,6.699333333,San Francisco,Local,0,1,2->10,"San Francisco, CA",Media
SpokanePD,3934221,spokesmanreview,SpokesmanReview,The Spokesman-Review is the largest news and information provider in the Inland Northwest. We use this account to talk about what's happening in the community.,24045,1192,20.17197987,"Spokane, WA",Local,0,1,>10,"Spokane, WA",Not Identified
NYPDnews,5770442,1010wins,1010 WINS,"All News. All The Time. You Give Us 22 Minutes, We'll Give You The World.",31081,806,38.56203474,"New York City, NY, USA",Local,0,1,>10,New York City,Not Identified
StocktonPolice,6017542,breakingnews,Breaking News,"Get our free iOS or Android app to unlock more updates, see news near you and customize your own alerts...",7664064,535,14325.35327,Global,Non-Local,0,1,>10,"Stockton, CA, USA",Not Identified
SLMPD,7074742,peterkinder,Peter Kinder,,8917,5005,1.781618382,,Missing,0,1,1->2,"St. Louis, MO",Not Provided
SLMPD,7722022,beetkid,Mindy ,I'm REAL!!!,260,196,1.326530612,The city between CA & NY.,Non-Local,0,1,1->2,"St. Louis, MO",Not Identified
boulderpolice,8731312,denverchannel,7NEWS Denver Channel,"Updating #BreakingNews, #cowx & Denver and Colorado news headlines from 7NEWS & http://t.co/PyqySYXBMD. Got a news tip? Tweet us or call us at 303-832-0200.",94777,12121,7.819239337,"Denver, Colorado",Non-Local,0,1,2->10,"Boulder, CO",Media
SFPD,8891402,3030vision,Greg Schuler,"Interaction Designer at @Cooper, foodie, cyclist, cocktail enthusiast.",434,219,1.98173516,"San Francisco, CA",Local,0,1,1->2,"San Francisco, CA",Other Sectors
BPDVT,9522502,asoga,asoga,"Editorial page editor, The Burlington (Vt.) Free Press.  Opinionated (It's my job). Also dabbles in picture-taking. @mojonews and @Kcollege grad.",2548,1966,1.296032553,"Burlington, Vermont",Local,0,1,1->2,"Burlington, Vermont",Media
ScottsdalePD,10025982,azfamily,AZ Family,"Live from the newsroom of KTVK-3TV and http://azfamily.com in Phoenix, Arizona. Delivering local news, weather, sports & just interacting. Visit us online at",94176,8024,11.73678963,"Phoenix, Arizona",Non-Local,0,1,>10,"Scottsdale, Arizona",Media
CLEpolice,11024852,kristin_volk,Kristin Volk,"Reporter for WEWS-TV in Cleveland. Storyteller, producer, shooter, editor, water skier, chocolate lover.",1912,1277,1.497259201,"Cleveland, OH",Local,0,1,1->2,"Cleveland, OH",Media
SLMPD,11740172,charlesjaco1,Charles Jaco,"Journalist, author, recovering talk host and war correspondent, public speaker, occasional academic, newspaper columnist (how quaint).",4242,842,5.038004751,St. Louis,Local,0,1,2->10,"St. Louis, MO",Media
SFPD,12579352,billycorben,Billy Corben,"Director 'Cocaine Cowboys,' ESPN 30 for 30s 'The U' and 'Broke,' and http://dawg-fight.com",38671,2290,16.88689956,Miami,Non-Local,0,1,>10,"San Francisco, CA",Other Sectors
SLMPD,14090948,antoniofrench,Antonio French,"Dad, Husband, Alderman of the @21stWard in St. Louis, founder of @North_Campus, Auburn grad and devoted Auburn Football fan, @WUSTL MBA.",120104,1500,80.06933333,"St. Louis, MO, USA",Local,0,1,>10,"St. Louis, MO",Other Sectors
CLEpolice,14267944,clevelanddotcom,clevelanddotcom,"Northeast Ohio Media Group's http://cleveland.com is your one stop shop for news, sports, entertainment, and more in Northeast Ohio.",58445,7145,8.179846046,"Cleveland, Ohio",Local,0,1,>10,"Cleveland, OH",Media
BPDVT,14275430,ryanmercer1,ryanmercer1,Burlington Free Press Photo/Video/Multimedia Editor. Dad. Snowboarder. Geek. Rehabilitated flat lander. Chicken herder and god knows what else.,2418,1517,1.593935399,"Burlington, VT",Local,0,1,1->2,"Burlington, Vermont",Not Identified
VBPD,14420135,cityofvabeach,Virginia Beach,"The City of Virginia Beach is the most populous city in Virginia, with more than 38 miles of beaches bordering the Chesapeake Bay and Atlantic Ocean.",23313,93,250.6774194,"Virginia Beach, VA",Local,0,1,>10,"Virginia Beach, VA",Not Identified
boulderpolice,14504258,dailycamera,Daily Camera,"The Daily Camera newspaper in Boulder, Colo., covers local news, sports, lifestyles, entertainment, business, opinion and more throughout Boulder County.",35508,1256,28.27070064,"Boulder, Colo.",Local,0,1,>10,"Boulder, CO",Other Sectors
CLEpolice,14590764,frangeladuo,Frangela,"Frances Callier and Angela V. Shelton are real life best friends, comedians, hosts of idiotoftheweek.tv and lovers of all things Pop Culture!",7250,2607,2.7809743,"Los Angeles, CA",Non-Local,0,1,2->10,"Cleveland, OH",Media
PortlandPolice,14628391,kyouell,Kath Youell,"Car-free Bakfiets Babe. Wife of @built, SAHM to son w/Down syndrome & typical daughter. Knitter, fan of @twhiddleston, B Cumberbatch, @TheWho, & oxford commas.",1813,2001,0.906046977,"PDX, Oregon",Non-Local,0,1,<1,"Portland, Oregon",Not Identified
VBPD,14946895,virginianpilot,The Virginian-Pilot,"Breaking News and Top Headlines from Hampton Roads' most trusted source for news, The Virginian-Pilot",33769,1481,22.80148548,"Norfolk, Va. ",Non-Local,0,1,>10,"Virginia Beach, VA",Media
oaklandpoliceca,15199325,govloop,GovLoop,"GovLoop is the knowledge network for government connecting 200,000+ federal, state, and local government innovators. http://www.govloop.com/",20208,6607,3.058574239,"Washington, DC",Non-Local,0,1,>10,"Oakland, CA",Other Sectors
NYPDnews,15222806,nytmetro,NYT Metro Desk ,"Breaking news and headlines from the New York Times Metro desk, including the City Room blog, the daily New York report and the Sunday Metropolitan section.",110024,316,348.1772152,New York City,Local,0,1,>10,New York City,Not Identified
NYPDnews,15264675,azi,Azi,"I cover politics. CapitalNewYork[dot]com. RT's mean nothing. Azi@CapitalNewYork[dot]com / Tips, Complaints: 917-723-7962",15748,3213,4.901338313,New York City,Local,0,1,>10,New York City,Media
SLMPD,15293169,jcoatar,Jack Coatar,Democratic Candidate for 7th Ward Alderman,1435,1161,1.236003445,"St. Louis, MO",Local,0,1,1->2,"St. Louis, MO",Polictician
